name,shelter_type,area_m2,estimated_capacity,lat,lon,centroid,nearby_population_density,nearby_population_estimate,estimated_coverage_ratio,Distance_to_Roads,Distance_to_Faults,Population_Density,LandUse_Score,Distance_to_Roads_norm,Distance_to_Faults_norm,Population_Density_norm,LandUse_Score_norm,Distance_to_Roads_w,Distance_to_Faults_w,Population_Density_w,LandUse_Score_w,score,rank
Park_050,public_park,1842.3505270150308,526,38.66630234882224,39.18452429491543,POINT (39.18452429491543 38.66630234882224),0.0,0.0,<NA>,5.503894655027672,24645.379041922643,9500,0.2,0.033763242778659074,0.39584281897650925,0.9999999999998794,0.9999999900000001,0.018836513146213894,0.10422541423651488,0.1218999999999853,0.056899999431,0.3018619268137141,29
Park_051,public_park,2847.8297496889018,813,38.6657170002501,39.18442306666666,POINT (39.18442306666666 38.6657170002501),0.0,0.0,<NA>,5.193290015545741,24602.13209132901,9500,0.2,0.03185786113378572,0.3949388582320762,0.9999999999998794,0.9999999900000001,0.017773500726539052,0.10398740137250566,0.1218999999999853,0.056899999431,0.30056090153003,34
Park_052,public_park,2263.259927185218,646,38.67077991599016,39.168287110250375,POINT (39.168287110250375 38.67077991599016),0.0,0.0,<NA>,6.218741351724563,25646.55474323795,9500,0.2,0.03814841801962274,0.41676969404738395,0.9999999999998794,0.9999999900000001,0.021283002413147522,0.10973546044267618,0.1218999999999853,0.056899999431,0.309818462286809,13
Park_053,public_park,4911.600568305037,1403,38.670421611698885,39.169914395684216,POINT (39.169914395684216 38.670421611698885),0.0,0.0,<NA>,0.0,25558.609074286884,9500,0.2,0.0,0.4149314272728852,0.9999999999998794,0.9999999900000001,0.0,0.10925144480095066,0.1218999999999853,0.056899999431,0.28805144423193596,108
Park_054,public_park,1972.239499567654,563,38.67190878017396,39.171063829488766,POINT (39.171063829488766 38.67190878017396),0.0,0.0,<NA>,3.247307711429674,25686.654543085937,9500,0.2,0.019920373755311388,0.41760787210212846,0.9999999999998794,0.9999999900000001,0.011113576518088222,0.10995615272449041,0.1218999999999853,0.056899999431,0.29986972867356393,40
Park_055,public_park,2194.9618599908335,627,38.66557040615221,39.18565585643173,POINT (39.18565585643173 38.66557040615221),0.0,0.0,<NA>,2.9615209135527083,24541.257295199273,9500,0.2,0.018167235360694523,0.3936664349682092,0.9999999999998794,0.9999999900000001,0.010135500607731473,0.10365237232712947,0.1218999999999853,0.056899999431,0.2925878723658462,87
Park_056,public_park,1574.4114499966136,449,38.66682785012847,39.19157860005317,POINT (39.19157860005317 38.66682785012847),0.0,0.0,<NA>,1.231611603303562,24482.98539151032,9500,0.2,0.00755523209975803,0.39244841814355125,0.9999999999998794,0.9999999900000001,0.004215063988455004,0.10333166849719704,0.1218999999999853,0.056899999431,0.28634673191663734,112
Park_057,public_park,1242.8758345021952,355,38.667353183998536,39.19066767631406,POINT (39.19066767631406 38.667353183998536),0.0,0.0,<NA>,2.851684278509716,24570.919864194333,9500,0.2,0.017493450485186423,0.3942864508903149,0.9999999999998794,0.9999999900000001,0.009759596025685505,0.1038156225194199,0.1218999999999853,0.056899999431,0.29237521797609073,88
Park_058,public_park,6422.3028493604725,1834,38.66165350473143,39.19222207713319,POINT (39.19222207713319 38.66165350473143),0.0,0.0,<NA>,3.617425389065354,23890.806571401932,9500,0.2,0.022190833818581644,0.3800705186682189,0.9999999999998794,0.9999999900000001,0.012380266187386697,0.10007256756534202,0.1218999999999853,0.056899999431,0.29125283318371403,92
Park_059,public_park,4750.263362836615,1357,38.66200056367661,39.186870522448885,POINT (39.186870522448885 38.66200056367661),0.0,0.0,<NA>,3.222293760761084,24093.154498793152,9500,0.2,0.019766927488220225,0.38430005579322435,0.9999999999998794,0.9999999900000001,0.011027968845678063,0.10118620469035597,0.1218999999999853,0.056899999431,0.2910141729670193,95
Park_060,public_park,1730.783309642422,494,38.667027139135186,39.19644433291078,POINT (39.19644433291078 38.667027139135186),0.0,0.0,<NA>,2.233969553944993,24333.25636546424,9500,0.2,0.01370412428607762,0.38931873709113096,0.9999999999998794,0.9999999900000001,0.007645530939202704,0.10250762347609478,0.1218999999999853,0.056899999431,0.2889531538462828,105
Park_061,public_park,1886.1474239630027,538,38.66391948705361,39.18770237062397,POINT (39.18770237062397 38.66391948705361),0.0,0.0,<NA>,3.072439863696214,24285.242568416827,9500,0.2,0.01884765961972866,0.3883151382910707,0.9999999999998794,0.9999999900000001,0.010515109301846619,0.10224337591203891,0.1218999999999853,0.056899999431,0.29155848464487083,91
Park_062,public_park,2130.249609424548,608,38.6657182794888,39.18953465949716,POINT (39.18953465949716 38.6657182794888),0.0,0.0,<NA>,3.514575623740172,24421.610117963177,9500,0.2,0.021559909388872558,0.39116553375045776,0.9999999999998794,0.9999999900000001,0.012028273448051999,0.10299388503649552,0.1218999999999853,0.056899999431,0.29382215791553284,77
