lat,lon,landuse,area_m2,population_density,population_estimate
38.33587930495732,39.251382524104024,residential,2324.643858650457,10000,23.246438586504567
38.67081011199007,39.24751839523898,industrial,603546.7515115519,1000,603.5467515115519
38.67016927933916,39.21008474767346,residential,55915268.15169203,10000,559152.6815169203
38.39983445806893,39.234750933935054,residential,54414.55071441206,10000,544.1455071441205
38.46634538498399,39.27421516685578,industrial,241713.53524502134,1000,241.71353524502135
38.47590381434932,39.29644865580937,residential,141567.82513337553,10000,1415.6782513337553
38.4856340809594,39.315361556611435,residential,108779.79133097162,10000,1087.7979133097163
38.48089989383887,39.30828611445726,residential,126561.02050854533,10000,1265.6102050854533
38.39986316893036,39.22525622393628,residential,20037.749727249648,10000,200.37749727249647
38.471069115966046,39.294607012809564,residential,14385.167147368316,10000,143.85167147368318
38.43350877663719,39.315437222337735,residential,4012.5911178744686,10000,40.12591117874469
