landuse_type,area_m2,lat,lon,hazard_score,shelter_candidate
natural:scrub,5222687.794532721,38.551395125239175,40.085524182926754,3,True
natural:scrub,5222687.794532721,38.551395125239175,40.085524182926754,3,True
natural:scrub,4195379.236216143,38.54931322986302,40.0996510125111,3,True
natural:scrub,4195379.236216143,38.54931322986302,40.0996510125111,3,True
natural:scrub,10442578.4677041,38.484264065299854,40.096058634559405,3,True
natural:scrub,3956909.6359596923,38.51455181158691,40.07331950126655,3,True
natural:scrub,4495353.386372697,38.568155378287486,40.22880438210652,3,True
natural:scrub,4495353.386372697,38.568155378287486,40.22880438210652,3,True
natural:mountain_range,5496032315.589935,38.09264781081083,38.28630022353886,3,True
natural:mountain_range,5496032315.589935,38.09264781081083,38.28630022353886,3,True
natural:mountain_range,1658037704.6657722,38.39149143181495,39.49754480936479,3,True
natural:mountain_range,1658037704.6657722,38.39149143181495,39.49754480936479,3,True
natural:mountain_range,1658037704.6657722,38.39149143181495,39.49754480936479,3,True
amenity:school,8696.04452052715,38.79941636512628,38.72722341123248,3,True
amenity:school,6504.1118180488675,38.798114523137194,38.72783698250502,3,True
landuse:residential,982927.3383140776,38.79516911394283,38.73818852188102,2,True
amenity:university,163495.37156718934,38.79544173591108,38.72865622331358,3,True
natural:bare_rock,267339.90712031035,38.79736957299457,38.73730052296369,3,True
landuse:cemetery,10062.559473798454,38.797590443459946,38.733759112727874,4,True
amenity:school,4552.534191560692,38.7919996225352,38.74549543028967,3,True
landuse:cemetery,19811.156017984456,38.791921009254146,38.74769448893603,4,True
landuse:military,4553.417341811997,38.79519439803185,38.74493207966753,4,True
natural:water,1435835.3146277072,38.79974962419216,38.735864214990045,3,True
leisure:park,109078.23817935666,38.80127342596451,38.73584571966601,1,True
amenity:school,8056.933884081809,38.8022195907539,38.73948032085569,3,True
natural:water,998829.048404314,38.77571754559512,38.71223545919864,3,True
landuse:residential,35399.49000543246,38.827304588323926,38.7357605333978,2,True
natural:water,635200.9559258778,38.66997845382273,39.847079691407565,3,True
natural:water,635200.9559258778,38.66997845382273,39.847079691407565,3,True
natural:water,1310182.2139214175,38.683437282568185,39.88424429554435,3,True
natural:water,1350276.0361453106,38.76659570229657,38.66443237915463,3,True
natural:water,875843.1856698871,38.76035836761653,38.64033306055081,3,True
natural:water,1070789.7280321217,38.74892015303272,38.61793331759217,3,True
natural:water,1564812.930441837,38.756120750506454,38.568237238411506,3,True
natural:water,84170.89171308665,39.1275200040353,40.081464164914124,3,True
natural:water,1009283.8357668646,38.70738619941137,39.99129612478843,3,True
landuse:residential,57149.873341409795,38.69378351277285,40.0232933996706,2,True
landuse:residential,1958758.693959646,38.69172992639189,39.92643703058033,2,True
natural:water,918428.3431156798,38.69295692206659,39.94099817923505,3,True
landuse:military,71261.27378591098,38.69393472715627,39.90828616689698,4,True
landuse:residential,93580.33925823562,38.64298770650158,39.9584183710652,2,True
landuse:residential,279916.73635914864,38.663273016668285,40.009128265670164,2,True
landuse:residential,1048744.6883049866,38.448126620083755,39.307792479062485,2,True
natural:water,15806.978406624166,38.468901195756594,39.27873758904153,3,True
landuse:residential,48019.868238606345,39.09292481927657,39.91546703833197,2,True
landuse:residential,17402.488461241373,39.05941332678165,39.98766161659245,2,True
landuse:residential,14926.022092964047,39.06988073706789,40.03009954298223,2,True
landuse:residential,3625517.787399881,38.955182590184634,40.0379233208934,2,True
landuse:residential,43181.48822133566,39.02559259633154,39.9776863624527,2,True
landuse:residential,24556.31189460151,39.04648084482666,39.97625322712704,2,True
landuse:residential,21161.855076040396,38.96982338218456,40.01130270706931,2,True
landuse:residential,249322.80175335403,38.95078197180103,40.00597883518826,2,True
landuse:residential,235169.7040261676,38.99944783077193,39.985363069182824,2,True
landuse:residential,336060.3466375602,38.97192103270191,40.026701258118955,2,True
landuse:residential,76350.95297721495,39.07471651252006,40.020377222589836,2,True
