landuse,area_m2,population_density,population_estimate,density_level,lat,lon
residential,178476.73741634138,9500,1695.5290054552431,yüksek,38.77448870521582,39.207304818855306
residential,277732.79281009565,9500,2638.4615316959084,yüksek,38.581116992541276,39.33850414954304
residential,43917.34111378397,9500,417.21474058094776,yüksek,38.58984675829491,39.32370187247715
residential,318914.4109496812,9500,3029.6869040219713,yüksek,38.579237905906766,39.35118478966086
residential,318914.4109496812,9500,3029.6869040219713,yüksek,38.579237905906766,39.35118478966086
residential,144523.43972662234,9500,1372.972677402912,yüksek,38.586959562750835,39.32656407322586
residential,60111.53639024835,9500,571.0595957073593,yüksek,38.34688150017773,39.2691055193848
residential,47121.50107666153,9500,447.65426022828456,yüksek,38.31197920857979,39.204122907440386
residential,6386.255432382641,9500,60.66942660763509,yüksek,38.35384306079241,39.270658696423155
residential,40415.07217894087,9500,383.9431856999383,yüksek,38.35584164924529,39.2685303116456
residential,2324.643858650457,9500,22.08411665717934,yüksek,38.33587930495732,39.251382524104024
industrial,603546.7515115519,1200,724.2561018138623,düşük,38.67081011199007,39.24751839523898
residential,55915268.15169203,9500,531195.0474410744,yüksek,38.67016927933916,39.21008474767346
residential,54414.55071441206,9500,516.9382317869146,yüksek,38.39983445806893,39.234750933935054
industrial,241713.53524502134,1200,290.0562422940256,düşük,38.46634538498399,39.27421516685578
residential,141567.82513337553,9500,1344.8943387670677,yüksek,38.47590381434932,39.29644865580937
residential,108779.79133097162,9500,1033.4080176442305,yüksek,38.4856340809594,39.315361556611435
residential,126561.02050854533,9500,1202.3296948311806,yüksek,38.48089989383887,39.30828611445726
residential,20037.749727249648,9500,190.35862240887164,yüksek,38.39986316893036,39.22525622393628
residential,14385.167147368316,9500,136.65908789999898,yüksek,38.471069115966046,39.294607012809564
residential,4012.5911178744686,9500,38.119615619807455,yüksek,38.43350877663719,39.315437222337735
residential,3202.3312932991134,9500,30.422147286341577,yüksek,38.45606936509217,39.27417214453235
residential,23498.281199571567,9500,223.2336713959299,yüksek,38.476552306793124,39.30553856291442
residential,26091.659420182354,9500,247.87076449173236,yüksek,38.47402236116607,39.29285824700349
residential,38654.550816815616,9500,367.21823275974833,yüksek,38.46026755487815,39.27564150931896
residential,96787.81468817772,9500,919.4842395376884,yüksek,38.488710146823706,39.32489875647799
residential,12992.19656486272,9500,123.42586736619583,yüksek,38.431667687433716,39.31498027771379
industrial,123058.69005247207,1200,147.6704280629665,düşük,38.45267196216763,39.300120318294816
residential,38721.005258068646,9500,367.84954995165214,yüksek,38.45756093542006,39.27513938936498
residential,74091.81459270451,9500,703.8722386306929,yüksek,38.47615599963892,39.30072336997919
residential,28793.02868640163,9500,273.5337725208155,yüksek,38.4697537313503,39.297075214440675
residential,56656.59837016079,9500,538.2376845165276,yüksek,38.83286855186033,39.24478833371875
residential,110335.17679238868,9500,1048.1841795276925,yüksek,38.82574992400228,39.245670820320605
residential,832693.7384536142,9500,7910.5905153093345,yüksek,38.394843050174664,39.670795381940486
residential,76122.92053272488,9500,723.1677450608864,yüksek,38.51710315500298,39.09140417928461
residential,176264.57941829567,9500,1674.513504473809,yüksek,38.40181749764892,39.67090170933627
residential,13633.803235251487,9500,129.52113073488914,yüksek,38.44230686037046,38.781500086042996
residential,15412.62005626066,9500,146.41989053447625,yüksek,38.398541865226214,39.67654379272343
residential,27348.14586795109,9500,259.8073857455354,yüksek,38.451321521025164,38.639417443678695
residential,14396.659873427196,9500,136.76826879755836,yüksek,38.55605353362454,39.043117913546396
residential,35791.19169126224,9500,340.0163210669913,yüksek,38.560589975021124,38.81681463733995
residential,35791.19169126224,9500,340.0163210669913,yüksek,38.560589975021124,38.81681463733995
residential,40640.212077327815,9500,386.08201473461423,yüksek,38.55467259134929,39.04645856073816
residential,79851.00793058511,9500,758.5845753405586,yüksek,38.58768720211784,38.876561429833714
residential,26001.69777163847,9500,247.0161288305655,yüksek,38.55749506637423,38.846302179537865
residential,38077.326986240994,9500,361.73460636928945,yüksek,38.53993949816538,39.031267972109525
residential,68175.42271000567,9500,647.6665157450539,yüksek,38.564852407220044,38.82323414037474
residential,43351.09184399486,9500,411.83537251795116,yüksek,38.69453536733971,38.95129733638285
residential,145442.7869723732,9500,1381.7064762375455,yüksek,38.77310442763786,38.97820794783037
residential,124262.96145021173,9500,1180.4981337770114,yüksek,38.777548056453504,38.97803731041752
residential,7379.998086804148,9500,70.1099818246394,yüksek,38.82633853809902,38.974889081096954
residential,81554.07856672883,9500,774.763746383924,yüksek,38.56638706395182,38.943128219357654
