name,highway,length_m,importance
,tertiary,491.8292064925875,5
,residential,414.27388272392534,6
,residential,861.8862038430428,6
,tertiary,4165.203526179835,5
Diyarbakır-Elazığ yolu,trunk,2128.6952060661965,2
Elazığ-Bingöl yolu,trunk,11198.760271918376,2
,tertiary,2602.956057177672,5
,tertiary,2602.956057177672,5
Diyarbakır-Elazığ yolu,trunk,157.71357927707976,2
Diyarbakır-Elazığ yolu,trunk,81.89401363180978,2
Diyarbakır-Elazığ yolu,trunk,1327.003603891841,2
Diyarbakır-Elazığ yolu,trunk,2075.3069611185047,2
,tertiary,3324.847530492368,5
Alacakaya - Maden yolu,secondary,5726.555606670924,4
,tertiary,1380.2975568337433,5
,residential,348.7472179715075,6
Malatya-Elazığ yolu,trunk,11017.57824736641,2
Malatya-Elazığ yolu,trunk,55.58456091581414,2
Malatya-Elazığ yolu,trunk,52.182052287760065,2
Malatya Caddesi,trunk,10274.56187153166,2
Malatya Caddesi,trunk,10274.56187153166,2
Malatya-Elazığ yolu,trunk,4489.396145374428,2
Malatya-Elazığ yolu,trunk,4492.281497164355,2
,tertiary,2449.463418757109,5
,residential,422.4974733863443,6
,residential,547.8062443939717,6
,tertiary,1988.5820826648599,5
,residential,242.89287900575152,6
,tertiary,1065.418967962036,5
,residential,805.3787042140723,6
Malatya-Elazığ Yolu,trunk,8826.479186709194,2
Malatya-Elazığ yolu,primary,3381.08794334261,3
,residential,491.225784511457,6
,residential,69.67476953606085,6
,residential,28.23395302759194,6
,residential,1160.0583672787784,6
,residential,258.5892774751874,6
Elazığ Baskil Yolu,secondary,35290.59478357782,4
Elazığ Baskil Yolu,secondary,35290.59478357782,4
Feribot yolu,secondary,8088.598173053195,4
Feribot yolu,secondary,8088.598173053195,4
,residential,715.3548164232775,6
,tertiary,330.4110801444806,5
,residential,766.6412376867409,6
,residential,792.0805466389384,6
,tertiary,4211.240595090941,5
,tertiary,4211.240595090941,5
,residential,164.49530638727285,6
,residential,200.7061749719979,6
,residential,130.77789233649648,6
,residential,207.4447536693602,6
,tertiary,23.251598304593326,5
,tertiary,1647.613024398989,5
,tertiary,1647.613024398989,5
,residential,479.18128753461576,6
,residential,319.74735418520237,6
,tertiary,57.13047858113633,5
,residential,269.99251944947855,6
,residential,329.95375013210173,6
,tertiary,2017.969016609265,5
,tertiary,935.9096898683375,5
,residential,247.631441741659,6
